subjID,starttime,useragent,describe,approach,issues
connect-450BA15B1E9D4B76BC0DCB0D9BF11DAB,1703865039636,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'I was to attempt to drop the marble in a cup.'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'Look at the location of the cup, wind direction, planet gravity, and draw a line.'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'I was unable to draw any lines. I tried everything. No line.'}"
connect-1DF28D04D4BC4AD0A9B59DD0E935393A,1703865018453,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'I was tasked to draw lines/ramps that a ball would roll down in an attempt to get the ball into the cup. There were variables such as gravity and wind that changed the physics of how the ball acted.'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'I just used trial and error. Nothing in particular.'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'Nope'}"
connect-DF011FC195104845887434C8E2642FB6,1703866552001,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'Drawing lines to assist a ball to successfully fall into a cup.'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'To use the wind and gravity in my favor to move and speed the ball along. (Sadly, the left wind really threw me.)'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'No'}"
connect-BDE67C2DF7E34C829465442702DD3ACC,1703864989112,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'Completed an exercise to lead a ball into a cup based on the size and gravity of the ball. Instructions were to draw a line from the ball to the cup to do so.'}","{'q': 'What was your overarching approach to solve each level?', 'a': ""Depending on the wind, I would see how to start the line to ensure the ball wouldn't just flew. Tried to see how the drop would speed or halt the ball and if it'll help propel the ball further or not. Also I would just see if the problem could be resolve with a simple line or something more complex.""}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': ""Yes, I had an issue with Puzzle #14, I put the ball in twice after first attempt but it didn't seem to register to click next. So ended up just failing that one to continue.""}"
connect-A4CF186F80ED41E6973870DB4C597F32,1703707479638,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 OPR/95.0.0.0","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'guiding a ball into a cup'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'use gravity as much as possible'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'no'}"
connect-3816DCE76C6C443391050CB063B83BB3,1703865016375,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Safari/605.1.15","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'I had to draw a line or lines to get a marble into a cup. You only have 5 attempts at each game. '}","{'q': 'What was your overarching approach to solve each level?', 'a': 'Trial and error. I would try different approaches to see which worked best for me. Sometimes nothing worked at all '}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'A few rounds the game would freeze. I would have to wait for it to reset. '}"
connect-4E48E94501D14A318FF6D1CC407DEC30,1703866798773,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'I did a 20 game scenario with balls. They were mostly easy. I had to make barriers to move said ball into a cup around obstacles.'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'Block in everything to and guide the ball into the cup.'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'There were a few that seemed to be impossible.'}"
connect-6F75D8B9C091457AB35203CFF4BE2103,1703864995430,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'I had to drag lines in such a way so a ball would land in a cup.'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'to account for the gravity and wind'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'NO'}"
connect-71AEE38C92B24C568F612B9014229FF4,1703865968111,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'I drew lines to get a ball in a cup.'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'Drawing a line to connect to the cup.'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'NO'}"
connect-F9E998D1F7FD4763BA48455B0A2AF97F,1703864995708,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'I had to get a ball into a cup with 5 five attempts in each round.'}","{'q': 'What was your overarching approach to solve each level?', 'a': ""I didn't have a strategy.""}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'No'}"
connect-AD5993CF4D3C4DCC8A62F2D5EE70755D,1703865035267,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,"{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'I guided a ball to a cup.'}","{'q': 'What was your overarching approach to solve each level?', 'a': ""I tried drawling lines that would've guided the ball into the cup.""}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': ""The game wouldn't continue even when I got the ball into the cup. One game, the ball would float over the green line.""}"
connect-6DF4BAC26DEE4F9FA7C0B8D08891B590,1703864993703,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,"{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'I had to draw tracks in order to lead a ball into a glass.'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'I tried to use physics to counter the walls and the wind.'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'no'}"
connect-19BD49C073C342FFB0E47561FD0A0482,1703865025208,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'This was a game where you had to get a ball into a cup. There was a bit of a learning curve to get the balls where they needed to go.'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'Once I got the hang of it, I used two or three lines to guide the ball.'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'no issues'}"
connect-7E0D9F23EB824361ABA9A049C64208D5,1703707499194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'I drew a path to get a marble into a cup in a variety of scenarios.'}","{'q': 'What was your overarching approach to solve each level?', 'a': ""Create a slope for the marble. Block the other side of the cup so the marble couldn't bounce out.""}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': '""Sticky"" cursor. Also, could have really benefitted from a ""draw straight line"" tool.'}"
connect-1501C5CE8BBE4B789CD17DD9FDB6A737,1703865011092,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'I was asked to drop a ball in a cup using lines and thinking about gravity and the direction of wind blow.'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'I used prior knowledge from other levels to solve the next.'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'In some levels, I got the ball in the cup, but did not count towards me completing the level, even though I did what was asked.'}"
connect-35C167A8A69C44C6901146BCBDA40868,1703865006115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'I was essentially drawing a slide for a ball to drop into a cup.'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'I took into account the wind and the angle needed for the ball to hit the cup.'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'No issues. Fun!'}"
connect-4C241572C44A465A8DDB0D6512E80B91,1703866059298,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'In this HIT I attempted to get a ball into a cup given varying wind and gravity conditions along with immobile barriers. I facilitated this by drawing lines along which the ball would roll.'}","{'q': 'What was your overarching approach to solve each level?', 'a': ""I drew the most direct line from the drop point to the cup when possible. I also tried to block the ball from flying offscreen by drawing a barrier on the other side of the cup. I took gravity and wind into account by making steeper slopes. I tried to additionally account for wind by creating a longer initial drop for the ball, in hopes that its kinetic energy would carry it to the goal (assuming there's some primitive model of such things within the game).""}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'No technical issues whatsoever, though I do wonder if a couple of the levels were not solvable. '}"
connect-4B0CE07C4F434476AF0B131C45E7AB28,1703864996918,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'The hit was a physics type game based on gravity and angles, rolling a ball into a cup under different circumstances.'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'Trial and error.'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'None.'}"
connect-1304BAAAAFA04DEE959F8EC00A5E49F6,1703864995740,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'The goal was to try to get the ball into the cup using tracks that I drew.'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'I tried to approach it with the gravity in mind and how the ball can get into the cup with how I would draw the tracks.'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'No.'}"
connect-1A8CD277EE374907A48DB2469B9443F8,1703707754021,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'I was tasked with building a track to drop a ball into a cup'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'I looked at where the ball was and tried to make a pipe to keep it fully on track to the end point'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': ""I have some levels where I completed them as described, but they didn't let me advance""}"
connect-0F07CDB90B904FB79C385106E46337DE,1703865014570,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'I completed 20 tasks of trying to get a ball into a cup. Each task had its respective challenges.'}","{'q': 'What was your overarching approach to solve each level?', 'a': ""I took into consideration the size of the ball, the direction of the wind if there was any, and drawing a line to ensure the ball didn't escape. ""}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'None.'}"
