"","subjID","levelID","gravX","gravY","radius","numAttempts","success","imageID","directory"
"1","connect-1DF28D04D4BC4AD0A9B59DD0E935393A","basic_far",0,2.5,20,0,"fail","connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img0.png","connect-1DF28D04D4BC4AD0A9B59DD0E935393A/connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img0.png"
"2","connect-1DF28D04D4BC4AD0A9B59DD0E935393A","basic_far",0,2.5,20,1,"fail","connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img1.png","connect-1DF28D04D4BC4AD0A9B59DD0E935393A/connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img1.png"
"3","connect-1DF28D04D4BC4AD0A9B59DD0E935393A","basic_far",0,2.5,20,2,"success","connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img2.png","connect-1DF28D04D4BC4AD0A9B59DD0E935393A/connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img2.png"
"4","connect-1DF28D04D4BC4AD0A9B59DD0E935393A","boomerang_left",0.25,1,30,0,"fail","connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img3.png","connect-1DF28D04D4BC4AD0A9B59DD0E935393A/connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img3.png"
"5","connect-1DF28D04D4BC4AD0A9B59DD0E935393A","boomerang_left",0.25,1,30,1,"fail","connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img4.png","connect-1DF28D04D4BC4AD0A9B59DD0E935393A/connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img4.png"
"6","connect-1DF28D04D4BC4AD0A9B59DD0E935393A","boomerang_left",0.25,1,30,2,"fail","connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img5.png","connect-1DF28D04D4BC4AD0A9B59DD0E935393A/connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img5.png"
"7","connect-1DF28D04D4BC4AD0A9B59DD0E935393A","boomerang_left",0.25,1,30,3,"fail","connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img6.png","connect-1DF28D04D4BC4AD0A9B59DD0E935393A/connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img6.png"
"8","connect-1DF28D04D4BC4AD0A9B59DD0E935393A","boomerang_left",0.25,1,30,4,"fail","connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img7.png","connect-1DF28D04D4BC4AD0A9B59DD0E935393A/connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img7.png"
"9","connect-1DF28D04D4BC4AD0A9B59DD0E935393A","diagonal_descent",0.25,1,30,0,"fail","connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img8.png","connect-1DF28D04D4BC4AD0A9B59DD0E935393A/connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img8.png"
"10","connect-1DF28D04D4BC4AD0A9B59DD0E935393A","diagonal_descent",0.25,1,30,1,"fail","connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img9.png","connect-1DF28D04D4BC4AD0A9B59DD0E935393A/connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img9.png"
"11","connect-1DF28D04D4BC4AD0A9B59DD0E935393A","diagonal_descent",0.25,1,30,2,"success","connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img10.png","connect-1DF28D04D4BC4AD0A9B59DD0E935393A/connect-1DF28D04D4BC4AD0A9B59DD0E935393A_img10.png"
