subjID,starttime,useragent,strength,wind,delete,attempts,return,location
connect-450BA15B1E9D4B76BC0DCB0D9BF11DAB,1703865039636,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'none'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'b'}"
connect-1DF28D04D4BC4AD0A9B59DD0E935393A,1703865018453,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'b'}"
connect-DF011FC195104845887434C8E2642FB6,1703866552001,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'b'}"
connect-BDE67C2DF7E34C829465442702DD3ACC,1703864989112,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'b'}"
connect-A4CF186F80ED41E6973870DB4C597F32,1703707479638,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 OPR/95.0.0.0","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'c'}"
connect-3816DCE76C6C443391050CB063B83BB3,1703865016375,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1.2 Safari/605.1.15","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'd'}"
connect-4E48E94501D14A318FF6D1CC407DEC30,1703866798773,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'clear'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'd'}"
connect-6F75D8B9C091457AB35203CFF4BE2103,1703864995430,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'left'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'c'}"
connect-71AEE38C92B24C568F612B9014229FF4,1703865968111,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'c'}"
connect-F9E998D1F7FD4763BA48455B0A2AF97F,1703864995708,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'd'}"
connect-AD5993CF4D3C4DCC8A62F2D5EE70755D,1703865035267,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,"{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'clear'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'a'}"
connect-6DF4BAC26DEE4F9FA7C0B8D08891B590,1703864993703,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,"{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'a'}"
