subjID,starttime,useragent,describe,approach,issues
connect-F7D40967AFF441E08EE288EBFBFBB8E6,1705337845233,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:109.0) Gecko/20100101 Firefox/115.0,"{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'My objective was to drop a ball into a cup using lines to guide the direction the ball would go in.'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'I started with the lines that were the most obvious to me, then usually worked on the last line (the first line the ball would fall unto) because I was unsure how many times I would need to undo it to get the correct one.'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'There were scenarios where I dropped the ball into the cup as required but instead of letting me move to the next level it did not acknowledge my success and would force me to make a reattempt or redo my lines.\n\nThere were 2 levels where the ball moved from the very start on an invisible track of its own that made drawing lines on that level completely pointless as the ball would move a little on its own path and then stop.  I had to forfeit these levels.'}"
connect-218D74FFB32A4C838A88C6019A69DE91,1705167896138,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'I had to drop a ball in a cup with some obstacles in the way'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'I tried to make sure I was on a downward path'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'none'}"
connect-B8837FA27F2A469DB352A42C963C3223,1705337865506,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'The goal of the game was to simply get the ball into the cup. I had 19 levels of different scenarios and 5 attempts each level to get the ball in the cup. '}","{'q': 'What was your overarching approach to solve each level?', 'a': 'As I was progressing through the levels, I was starting to develop a strategy on drawing the lines better. I also started to create bumps in the lines to use as speed bumps to slow down the balls. In the later levels, I instead started to put walls on the ends of the cups.'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'no'}"
connect-75B7E17B71B840568DF71AE43662AD2D,1705339200537,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 OPR/106.0.0.0","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'I tried to chart a proper trajectory of a ball falling from the top of the page and into a cup. I had to calculate the path taking into account different factors.'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'I tried to chart a path taking into account velocity, wind conditions and the angle of the path. I tried to approach each round independently and assess what kind line would work best. Some approaches worked better than others like slowing down the ball with the wind to get it to fall into the cup.'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'The game would not advance during one of the practice rounds. I had to reload and start again but was able to complete without further incident.'}"
connect-9D8842C12C3C45E08D9D5B2B2D54D4B9,1705337839437,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'This game was about trying to get a ball to go into a cup through various obstacles.'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'Every level was pretty straightforward, the only problem I had was drawing the line smooth with my mouse since the ball picked up every imperfection.'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': ""Yes, I completed level 13, but every time the ball went into the cup I couldn't click next, it made me use every try.""}"
connect-1DF28D04D4BC4AD0A9B59DD0E935393A,1705337845934,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'I drew lines on a picture that influenced the direction a ball went once dropped. My goal was to guide the ball into the cup.'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'I used my intuition and a little bit of fine-tuning to try to get the ball into the cup. Having more than one attempt allowed me to adjust the line when needed.'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'Nope.'}"
connect-85C92CDBAC71452684E2566DAB6C7342,1705337827811,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'Using lines to make a ball fall into a cup, with a couple of extra chances.'}","{'q': 'What was your overarching approach to solve each level?', 'a': ""Try to find out how the ball would drop on each level, and then change if it didn't work.""}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'No, none that I noticed.'}"
connect-BA366CE24A6245D0BFF165BA41E4F395,1705337858483,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'The task i just completed is a game that required me to put a lot of thought and skill into accomplishing it.'}","{'q': 'What was your overarching approach to solve each level?', 'a': 'I simply used my intuition.'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': ""No, I didn't.""}"
connect-09804C26E1FD4C718AE81F0720A2B530,1705338319252,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0","{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'It was a game drawing a line to get the ball in the cup. '}","{'q': 'What was your overarching approach to solve each level?', 'a': 'I tried to draw the line where the ball would drop into the cup. '}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'No technical issues.'}"
connect-1D9FDFC8331148438004EEADB3CD9487,1705339702297,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,"{'q': 'In 1-2 sentences, please describe the HIT you just completed.', 'a': 'Bonus game '}","{'q': 'What was your overarching approach to solve each level?', 'a': 'clearly define the problem'}","{'q': 'Did you experience any technical issues while playing the game? If so, describe.', 'a': 'No'}"
